Comment,Designator,Footprint,LCSC Part #
,CN1,B6B-PH-K-S_ALTPAD_TOP,
,D1,SOD-123,C2128
,D2,SOD-123,C2128
CHOC_V1_SOCKET,SW1 SW2,KAILH_CHOC_V1_SOCKET,
SK6812-EJ,LED1,LED_SK6812MINI-E,C5149201
SK6812-EJ,LED2,LED_SK6812MINI-E,C5149201
